customer_id,productid,purchaseDate
27559,1370,2016-01-27 11:47:07
20007,1060,2016-01-27 11:48:04
29027,1370,2016-01-27 12:01:50
6009,1370,2016-01-27 13:35:59
6009,1060,2016-01-27 13:37:43
95975,1370,2016-01-27 14:07:03
6477,1360,2016-01-27 14:37:23
6477,1050,2016-01-27 14:40:14
56257,1370,2016-01-27 14:46:46
8669,1370,2016-01-27 14:50:10
6601,1370,2016-01-27 15:40:50
26701,1370,2016-01-27 17:47:08
6971,1370,2016-01-27 18:31:26
7091,1370,2016-01-27 19:45:44
86680,1370,2016-01-27 21:00:15
70901,1370,2016-01-27 21:06:45
97289,1370,2016-01-27 21:11:49
22877,1370,2016-01-27 21:22:18
580,1370,2016-01-27 21:23:47
86415,1370,2016-01-27 21:25:09
90470,1370,2016-01-27 21:26:32
22877,1050,2016-01-27 21:28:07
86415,1050,2016-01-27 21:29:12
7282,1370,2016-01-27 21:33:08
7298,1370,2016-01-27 21:39:10
7000,1370,2016-01-27 21:39:31
7002,1330,2016-01-27 21:39:32
90491,1370,2016-01-27 21:51:10
90470,1020,2016-01-27 22:00:56
7056,1370,2016-01-27 22:17:04
76825,1370,2016-01-27 22:30:33
10840,1370,2016-01-27 22:31:35
88770,1370,2016-01-27 22:33:28
80845,1370,2016-01-27 22:55:59
5020,1330,2016-01-27 23:50:31
54779,1370,2016-01-28 00:09:00
18490,1370,2016-01-28 00:10:36
7649,1370,2016-01-28 01:15:11
67700,1110,2016-01-28 02:53:00
14675,1330,2016-01-28 05:25:19
59040,1370,2016-01-28 05:29:30
57671,1370,2016-01-28 06:35:47
87827,1370,2016-01-28 07:10:24
87827,1050,2016-01-28 07:15:38
8119,1370,2016-01-28 07:56:14
8100,1370,2016-01-28 08:00:16
517,1370,2016-01-28 09:37:19
28245,1370,2016-01-28 10:38:12
8471,1370,2016-01-28 11:23:11
81141,1050,2016-01-28 12:14:18
98140,1370,2016-01-28 12:15:39
8617,1370,2016-01-28 12:33:52
8779,1370,2016-01-28 13:56:02
15816,1330,2016-01-28 14:11:37
609,1370,2016-01-28 14:16:01
15816,1070,2016-01-28 14:24:01
15816,1060,2016-01-28 14:24:18
65607,1370,2016-01-28 14:25:42
8827,1370,2016-01-28 14:27:01
8821,1370,2016-01-28 14:30:42
1190,1370,2016-01-28 14:56:52
8969,1370,2016-01-28 15:34:18
56267,1370,2016-01-28 15:35:16
8971,1330,2016-01-28 15:37:53
8060,1330,2016-01-28 16:03:50
17511,1370,2016-01-28 16:06:47
17511,1050,2016-01-28 16:08:47
9007,1370,2016-01-28 16:15:17
9060,1370,2016-01-28 16:24:18
657,1370,2016-01-28 16:31:58
9100,1370,2016-01-28 16:41:41
98869,1330,2016-01-28 17:17:53
9180,1370,2016-01-28 17:29:48
7745,1370,2016-01-28 17:53:21
9217,1330,2016-01-28 17:54:26
150,1370,2016-01-28 18:10:45
150,1070,2016-01-28 18:16:59
70000,1370,2016-01-28 18:47:49
9005,1370,2016-01-28 18:53:16
9005,1060,2016-01-28 19:01:37
80200,1370,2016-01-28 19:05:16
80200,1060,2016-01-28 19:15:27
1100,1370,2016-01-28 20:20:13
27187,1370,2016-01-28 20:40:35
28147,1370,2016-01-28 20:44:37
28147,1050,2016-01-28 20:46:42
9529,1370,2016-01-28 20:49:17
28107,1370,2016-01-28 21:03:32
95211,1370,2016-01-28 21:04:46
8100,1050,2016-01-28 21:12:02
9605,1370,2016-01-28 21:40:58
77240,1370,2016-01-28 21:41:50
9605,1050,2016-01-28 21:46:00
5525,1330,2016-01-28 21:56:06
5525,1070,2016-01-28 21:58:21
9647,1370,2016-01-28 22:00:56
9655,1370,2016-01-28 22:03:10
61599,1330,2016-01-28 22:12:09
80459,1370,2016-01-28 22:23:18
80459,1050,2016-01-28 22:30:34
9719,1370,2016-01-28 22:40:33
9719,1050,2016-01-28 22:52:06
92845,1330,2016-01-28 22:54:27
9775,1370,2016-01-28 23:13:56
5605,1370,2016-01-28 23:27:00
77127,1330,2016-01-28 23:47:44
9800,1370,2016-01-28 23:48:05
40211,1370,2016-01-28 23:51:11
77127,1070,2016-01-28 23:52:58
80159,1370,2016-01-29 01:14:44
9957,1370,2016-01-29 02:22:34
9995,1330,2016-01-29 02:30:01
505,1330,2016-01-29 02:38:12
95261,1370,2016-01-29 03:50:49
44040,1370,2016-01-29 04:57:12
97815,1370,2016-01-29 05:33:58
40269,1330,2016-01-29 06:57:26
40269,1070,2016-01-29 06:58:56
40049,1370,2016-01-29 08:19:23
40097,1110,2016-01-29 09:02:50
8000,1330,2016-01-29 09:28:13
40459,1370,2016-01-29 10:08:29
40519,1330,2016-01-29 10:10:54
40501,1370,2016-01-29 10:16:19
1089,1370,2016-01-29 10:35:39
91489,1370,2016-01-29 10:38:14
50900,1370,2016-01-29 10:38:37
2229,1370,2016-01-29 10:58:52
52079,1370,2016-01-29 11:16:37
40651,1370,2016-01-29 11:26:10
91407,1370,2016-01-29 11:27:21
87025,1370,2016-01-29 11:28:59
40657,1370,2016-01-29 11:29:30
40687,1370,2016-01-29 11:41:30
52245,1370,2016-01-29 11:46:00
40697,1370,2016-01-29 11:51:25
40711,1370,2016-01-29 11:52:32
40717,1370,2016-01-29 11:55:45
40727,1330,2016-01-29 11:58:54
40729,1370,2016-01-29 11:59:10
40749,1370,2016-01-29 12:12:39
79700,1370,2016-01-29 12:16:13
74755,1370,2016-01-29 12:31:02
74755,1050,2016-01-29 12:35:17
95409,1330,2016-01-29 12:43:20
40729,1050,2016-01-29 12:58:19
4019,1370,2016-01-29 12:58:26
22421,1370,2016-01-29 13:04:19
71677,1330,2016-01-29 13:15:15
40947,1370,2016-01-29 13:16:19
40947,1070,2016-01-29 13:21:16
80020,1050,2016-01-29 13:24:58
78211,1370,2016-01-29 13:25:53
40975,1330,2016-01-29 13:25:58
80020,1070,2016-01-29 13:27:43
78211,1060,2016-01-29 13:30:31
40989,1330,2016-01-29 13:33:09
10000,1370,2016-01-29 13:35:43
91020,1370,2016-01-29 13:58:38
41050,1370,2016-01-29 14:03:07
41071,1370,2016-01-29 14:08:52
41070,1070,2016-01-29 14:22:27
41101,1370,2016-01-29 14:32:06
41171,1370,2016-01-29 14:49:03
41191,1370,2016-01-29 15:00:50
24000,1370,2016-01-29 15:01:20
89770,1370,2016-01-29 15:02:07
41161,1370,2016-01-29 15:05:46
41205,1370,2016-01-29 15:08:45
41257,1370,2016-01-29 15:25:13
41919,1370,2016-01-29 15:29:12
41257,1050,2016-01-29 15:36:05
41597,1370,2016-01-29 16:00:15
55787,1370,2016-01-29 16:01:23
5965,1370,2016-01-29 16:04:55
82599,1370,2016-01-29 16:21:36
41709,1370,2016-01-29 16:28:23
89240,1370,2016-01-29 16:29:13
41797,1370,2016-01-29 16:38:38
41801,1370,2016-01-29 16:47:24
41801,1050,2016-01-29 16:50:40
41801,1070,2016-01-29 16:53:06
41871,1370,2016-01-29 16:54:40
41907,1370,2016-01-29 17:07:05
1269,1370,2016-01-29 17:09:12
41920,1370,2016-01-29 17:10:30
78005,1330,2016-01-29 17:15:55
59477,1370,2016-01-29 17:21:00
78005,1070,2016-01-29 17:21:58
41959,1370,2016-01-29 17:23:08
41961,1370,2016-01-29 17:23:47
41965,1370,2016-01-29 17:25:04
625,1370,2016-01-29 17:33:58
42017,1370,2016-01-29 17:47:49
56809,1370,2016-01-29 17:51:34
12640,1370,2016-01-29 17:53:46
62889,1370,2016-01-29 17:56:36
56809,1070,2016-01-29 17:58:02
42109,1370,2016-01-29 17:59:18
40010,1370,2016-01-29 18:04:55
70220,1370,2016-01-29 18:11:03
42209,1330,2016-01-29 18:12:43
70220,1050,2016-01-29 18:14:50
70220,1070,2016-01-29 18:16:11
80420,1370,2016-01-29 18:20:02
96645,1370,2016-01-29 18:20:37
42050,1370,2016-01-29 18:27:43
7647,1370,2016-01-29 18:30:35
77047,1370,2016-01-29 18:36:07
78601,1370,2016-01-29 18:40:21
88709,1370,2016-01-29 18:47:34
42459,1370,2016-01-29 18:49:14
201,1370,2016-01-29 18:56:17
87575,1370,2016-01-29 18:58:14
47895,1330,2016-01-29 18:59:39
70617,1370,2016-01-29 19:01:22
70617,1070,2016-01-29 19:06:05
42550,1370,2016-01-29 19:12:15
2841,1370,2016-01-29 19:28:48
90101,1370,2016-01-29 19:31:24
96920,1370,2016-01-29 19:35:37
14057,1370,2016-01-29 19:36:04
6867,1370,2016-01-29 19:46:44
42661,1370,2016-01-29 19:48:44
8061,1330,2016-01-29 19:50:57
42691,1370,2016-01-29 19:58:01
6240,1370,2016-01-29 19:58:29
10877,1370,2016-01-29 20:02:16
42699,1370,2016-01-29 20:04:12
76921,1150,2016-01-29 20:06:09
70220,1060,2016-01-29 20:08:51
42699,1050,2016-01-29 20:12:14
10591,1370,2016-01-29 20:14:46
42700,1370,2016-01-29 20:19:30
51097,1370,2016-01-29 20:33:49
70545,1330,2016-01-29 20:35:50
70671,1370,2016-01-29 20:39:31
79240,1370,2016-01-29 20:40:36
42770,1370,2016-01-29 20:41:02
69199,1370,2016-01-29 20:48:36
56005,1370,2016-01-29 20:50:19
42785,1370,2016-01-29 20:52:44
12725,1370,2016-01-29 21:10:46
40,1370,2016-01-29 21:17:37
91820,1370,2016-01-29 21:21:55
4101,1370,2016-01-29 21:41:36
70581,1370,2016-01-29 21:41:43
56869,1370,2016-01-29 21:43:01
42891,1370,2016-01-29 21:44:28
42900,1370,2016-01-29 21:56:52
74957,1370,2016-01-29 21:57:43
79145,1370,2016-01-29 21:57:44
22077,1330,2016-01-29 22:00:56
2291,1370,2016-01-29 22:02:29
94047,1370,2016-01-29 22:03:44
77415,1330,2016-01-29 22:05:22
54209,1370,2016-01-29 22:13:34
95529,1370,2016-01-29 22:14:11
96097,1370,2016-01-29 22:15:38
42945,1370,2016-01-29 22:21:38
69795,1370,2016-01-29 22:23:11
41120,1370,2016-01-29 22:24:47
2081,1370,2016-01-29 22:26:25
26500,1370,2016-01-29 22:27:28
42959,1330,2016-01-29 22:27:55
98845,1370,2016-01-29 22:28:52
42979,1330,2016-01-29 22:38:48
180,1370,2016-01-29 22:39:49
26500,1050,2016-01-29 22:47:31
5269,1370,2016-01-29 22:47:45
54571,1370,2016-01-29 22:48:07
54571,1050,2016-01-29 22:54:46
26500,1070,2016-01-29 22:58:59
27029,1370,2016-01-29 23:02:18
95145,1370,2016-01-29 23:07:48
40007,1370,2016-01-29 23:07:54
9151,1370,2016-01-29 23:10:13
40045,1370,2016-01-29 23:11:25
18050,1370,2016-01-29 23:13:46
40045,1060,2016-01-29 23:16:46
82967,1330,2016-01-29 23:17:00
40059,1370,2016-01-29 23:18:25
40619,1370,2016-01-29 23:20:10
20141,1330,2016-01-29 23:23:20
40070,1370,2016-01-29 23:24:43
82967,1050,2016-01-29 23:26:40
79465,1370,2016-01-29 23:28:25
4970,1370,2016-01-29 23:30:02
41969,1330,2016-01-29 23:31:18
70457,1330,2016-01-29 23:33:38
40100,1370,2016-01-29 23:35:15
41969,1050,2016-01-29 23:36:05
40109,1370,2016-01-29 23:38:04
40117,1370,2016-01-29 23:40:22
70457,1050,2016-01-29 23:44:15
77651,1370,2016-01-29 23:48:01
4279,1370,2016-01-29 23:48:56
40155,1370,2016-01-29 23:52:14
9917,1370,2016-01-29 23:52:28
22625,1370,2016-01-29 23:53:13
27520,1370,2016-01-29 23:54:44
42099,1370,2016-01-30 00:00:18
54045,1370,2016-01-30 00:03:29
98421,1370,2016-01-30 00:08:03
89851,1370,2016-01-30 00:10:07
80797,1370,2016-01-30 00:10:18
40217,1370,2016-01-30 00:14:18
40220,1370,2016-01-30 00:17:14
40225,1370,2016-01-30 00:18:52
40225,1050,2016-01-30 00:24:56
27019,1370,2016-01-30 00:29:03
27729,1370,2016-01-30 00:31:32
21840,1370,2016-01-30 00:34:03
40245,1370,2016-01-30 00:34:49
90895,1370,2016-01-30 00:35:44
90151,1370,2016-01-30 00:35:58
15810,1370,2016-01-30 00:38:39
89055,1370,2016-01-30 00:47:13
40260,1370,2016-01-30 00:51:13
21199,1370,2016-01-30 01:14:24
82517,1330,2016-01-30 01:17:59
40065,1370,2016-01-30 01:33:36
86101,1370,2016-01-30 01:34:33
40071,1370,2016-01-30 01:38:17
40070,1370,2016-01-30 01:41:23
40080,1370,2016-01-30 01:45:26
86101,1060,2016-01-30 01:48:51
78529,1370,2016-01-30 01:51:08
80107,1330,2016-01-30 01:51:47
80107,1060,2016-01-30 01:58:11
40419,1370,2016-01-30 02:11:21
5821,1370,2016-01-30 02:13:39
54019,1370,2016-01-30 02:28:31
25871,1370,2016-01-30 02:30:12
98669,1370,2016-01-30 02:36:27
5821,1070,2016-01-30 02:48:44
97091,1370,2016-01-30 02:49:38
5821,1060,2016-01-30 02:50:49
97229,1370,2016-01-30 02:53:56
94005,1370,2016-01-30 02:54:54
21009,1370,2016-01-30 02:55:24
40465,1370,2016-01-30 02:56:01
40467,1370,2016-01-30 02:58:21
64029,1370,2016-01-30 03:02:18
97229,1050,2016-01-30 03:02:25
61599,1370,2016-01-30 23:16:21
88029,1370,2016-01-31 08:36:39
84707,1370,2016-01-31 12:49:28
675,1370,2016-01-31 18:37:59
95409,1370,2016-02-01 04:07:07
91799,1370,2016-02-01 15:31:16
